KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016),,,,
Eyes Condition: ,Closed,,,,,,
Side: ,Left,,,,,,
Repetition:,1,,,,,,
Longitudinal Mean Cop Position (mm),-29.523,,,,,,
Lateral Mean Cop Position (mm),1.64,,,,,,
Longitudinal Standard Deviation (mm),11.074,,,,,,
Lateral Standard Deviation (mm),7.602,,,,,,
Ellipse Surface (mm²),1551.553,,,,,,
Total Displacement (mm),1921.384,,,,,,
Total Displacement AP (mm),1150.915,,,,,,
Total Displacement ML (mm),1334.034,,,,,,
Mean Velocity (mm/s),63.969,,,,,,
Mean Velocity AP (mm/s),38.318,,,,,,
Mean Velocity ML (mm/s),44.415,,,,,,
Longitudinal Amplitude (mm/s),56.335,,,,,,
Lateral Amplitude (mm/s),38.348,,,,,,
Amplitude Ratio,0.681,,,,,,
Phase Plane AP (mm),46.37,,,,,,
Phase Plane ML (mm),43.286,,,,,,
Max Distance AP (mm),56.749,,,,,,
Max Distance ML (mm),21.789,,,,,,
,Heel,Tip,,,,,
Weight Distribution (%),60.1,39.9,,,,,
,,,,,,,
,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.416,22.98720498,22.08980938,17.21889833,15.79329784,,0.5654,0.5024
0.42,23.20663016,21.89264046,17.1099081,15.9561609,,0.5652,0.4993
0.424,23.41897734,21.69885016,17.00108106,16.11403526,,0.565,0.4962
0.428,23.62190231,21.50579713,16.89227335,16.26749602,,0.5647,0.4931
0.432,23.81723506,21.30647569,16.78078949,16.41862248,,0.5645,0.4901
0.436,24.00218112,21.10216237,16.66641759,16.56379215,,0.5642,0.4871
0.44,24.17382981,20.89433748,16.55024778,16.70132309,,0.5639,0.4842
0.444,24.33247216,20.67873695,16.43304579,16.83500836,,0.5635,0.4813
0.448,24.47684392,20.45769741,16.3179739,16.96512546,,0.5631,0.4784
0.452,24.60592194,20.23592922,16.20640455,17.08913503,,0.5626,0.4757
0.456,24.72029427,20.01476298,16.09687861,17.20510724,,0.562,0.4731
0.46,24.82012359,19.79991331,15.99113761,17.31182679,,0.5615,0.4706
0.464,24.90477848,19.59877322,15.89430362,17.40814601,,0.561,0.4683
0.468,24.97439879,19.41164904,15.80847414,17.49437948,,0.5604,0.4663
0.472,25.03062266,19.23567611,15.73167585,17.57385335,,0.5598,0.4644
0.476,25.07449449,19.07213856,15.66395362,17.6471935,,0.5592,0.4628
0.4799,25.10757633,18.92004719,15.60545203,17.71393034,,0.5586,0.4613
0.4839,25.13236124,18.77449957,15.55437458,17.77780237,,0.558,0.4599
0.4879,25.14963506,18.6363397,15.51014736,17.8408814,,0.5573,0.4586
0.4919,25.15906124,18.50798677,15.47146095,17.9012585,,0.5566,0.4574
0.4959,25.16177581,18.38740631,15.43661491,17.95711592,,0.5559,0.4564
0.4999,25.16102208,18.27427239,15.40532131,18.00865076,,0.5552,0.4554
0.5039,25.15915297,18.16922159,15.37691769,18.05669978,,0.5546,0.4545
0.5079,25.15747374,18.06775206,15.34817793,18.10259369,,0.554,0.4536
0.5119,25.158166,17.96351013,15.31554351,18.14867987,,0.5534,0.4527
0.5159,25.16352511,17.85437337,15.27953165,18.19554944,,0.5528,0.4517
0.52,25.17370717,17.73913498,15.2410692,18.24551996,,0.5522,0.4506
0.524,25.18728542,17.61699617,15.19973363,18.30233682,,0.5516,0.4495
0.528,25.20397565,17.49175429,15.15716071,18.36532851,,0.551,0.4482
0.532,25.22400813,17.3633434,15.11362477,18.43552481,,0.5503,0.4469
0.536,25.24743128,17.22738738,15.06675732,18.51647339,,0.5495,0.4455
0.54,25.27491851,17.08569401,15.01560404,18.60662067,,0.5487,0.444
0.544,25.30846372,16.94280773,14.96061385,18.70067091,,0.5479,0.4424
0.548,25.35228403,16.79890902,14.90018686,18.7968112,,0.5472,0.4407
0.552,25.41060825,16.65389649,14.83134567,18.89692444,,0.5466,0.4389
0.556,25.48464196,16.51237052,14.75584353,18.99960501,,0.5461,0.437
0.56,25.57540801,16.37883668,14.67718547,19.10396246,,0.5457,0.435
0.564,25.68475468,16.25623064,14.59636924,19.21188799,,0.5455,0.433
0.568,25.81185503,16.14749775,14.51482551,19.32057257,,0.5454,0.431
0.572,25.95840085,16.05333866,14.4327177,19.42698181,,0.5455,0.4291
0.576,26.12805012,15.97412771,14.34964555,19.53119937,,0.5458,0.4271
0.58,26.3151783,15.91104595,14.26787893,19.63023853,,0.5463,0.4252
0.584,26.51337316,15.86524818,14.18795911,19.72040308,,0.547,0.4234
0.588,26.72177237,15.83803011,14.10708213,19.80124085,,0.5479,0.4217
0.592,26.93482363,15.82788439,14.02666512,19.87328366,,0.5489,0.4201
0.596,27.14401941,15.83057449,13.95266547,19.93513542,,0.5501,0.4187
0.5999,27.34572444,15.84477853,13.88688466,19.98582139,,0.5512,0.4175
0.6039,27.54133768,15.87101782,13.82629835,20.02701995,,0.5524,0.4164
0.6079,27.73107419,15.90702823,13.7697391,20.05853799,,0.5536,0.4155
0.6119,27.91409228,15.95193317,13.71800491,20.07886728,,0.5549,0.4148
0.6159,28.08998076,16.00706054,13.6714861,20.08860398,,0.5562,0.4142
0.6199,28.25486286,16.07007246,13.63137949,20.0888882,,0.5575,0.4137
0.6239,28.40467241,16.13856149,13.59876573,20.07916459,,0.5588,0.4134
0.6279,28.53801271,16.212741,13.57274398,20.05866938,,0.5601,0.4133
0.6319,28.65340272,16.29067122,13.55153519,20.02934624,,0.5613,0.4133
0.6359,28.74836302,16.3689337,13.53459622,19.99370251,,0.5624,0.4135
