KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016),,,,
Eyes Condition: ,Closed,,,,,,
Side: ,Left,,,,,,
Repetition:,1,,,,,,
Longitudinal Mean Cop Position (mm),-29.523,,,,,,
Lateral Mean Cop Position (mm),1.64,,,,,,
Longitudinal Standard Deviation (mm),11.074,,,,,,
Lateral Standard Deviation (mm),7.602,,,,,,
Ellipse Surface (mm²),1551.553,,,,,,
Total Displacement (mm),1921.384,,,,,,
Total Displacement AP (mm),1150.915,,,,,,
Total Displacement ML (mm),1334.034,,,,,,
Mean Velocity (mm/s),63.969,,,,,,
Mean Velocity AP (mm/s),38.318,,,,,,
Mean Velocity ML (mm/s),44.415,,,,,,
Longitudinal Amplitude (mm/s),56.335,,,,,,
Lateral Amplitude (mm/s),38.348,,,,,,
Amplitude Ratio,0.681,,,,,,
Phase Plane AP (mm),46.37,,,,,,
Phase Plane ML (mm),43.286,,,,,,
Max Distance AP (mm),56.749,,,,,,
Max Distance ML (mm),21.789,,,,,,
,Heel,Tip,,,,,
Weight Distribution (%),60.1,39.9,,,,,
,,,,,,,
,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
23.568,17.72463659,30.96484414,18.56857852,10.34673312,,0.6079,0.5999
23.572,17.7028514,30.97650443,18.58883647,10.33444043,,0.6078,0.6002
23.576,17.68405769,30.99026033,18.60814895,10.32183696,,0.6077,0.6005
23.58,17.66753733,31.00659018,18.62556023,10.31051472,,0.6077,0.6008
23.584,17.65206402,31.02755889,18.6405515,10.30105862,,0.6077,0.6011
23.588,17.63839056,31.05267263,18.65326793,10.29341793,,0.6077,0.6013
23.592,17.626721,31.07973961,18.66397104,10.28587155,,0.6077,0.6016
23.596,17.61532881,31.10879735,18.67368863,10.27660549,,0.6078,0.6018
23.6,17.60372497,31.13962963,18.68332177,10.26491104,,0.6079,0.6021
23.604,17.59316081,31.17065898,18.69190811,10.25020323,,0.608,0.6024
23.608,17.58434984,31.20033998,18.69807419,10.23220773,,0.6082,0.6026
23.612,17.57671871,31.22679075,18.7013957,10.21176315,,0.6084,0.6029
23.616,17.56886974,31.2490987,18.70205408,10.19060721,,0.6086,0.6032
23.62,17.55916147,31.2701733,18.70133807,10.16922278,,0.6088,0.6034
23.624,17.54737644,31.2948773,18.70075245,10.146439,,0.609,0.6037
23.628,17.53589632,31.32493835,18.70013473,10.12112577,,0.6092,0.604
23.632,17.52580161,31.360193,18.69884796,10.09243353,,0.6095,0.6044
23.636,17.51555108,31.40122806,18.69639515,10.05949904,,0.6099,0.6048
23.6399,17.50428152,31.44704296,18.69168453,10.02269347,,0.6103,0.6052
23.6439,17.48961813,31.49468686,18.68402702,9.984095137,,0.6108,0.6056
23.6479,17.46906877,31.54138915,18.67460682,9.945150466,,0.6112,0.6061
23.6519,17.44431728,31.58429501,18.66670406,9.90640844,,0.6116,0.6066
23.6559,17.41716217,31.62062442,18.66312689,9.868516864,,0.6119,0.6071
23.6599,17.38773316,31.6505752,18.66413988,9.831406015,,0.6122,0.6076
23.6639,17.35721546,31.67577771,18.66810583,9.795922966,,0.6124,0.6081
23.6679,17.32694715,31.69571449,18.6731684,9.764960385,,0.6125,0.6086
23.6719,17.29648105,31.70941104,18.67944238,9.740357654,,0.6126,0.609
23.6759,17.26524805,31.71718927,18.68863419,9.720660213,,0.6126,0.6093
23.6799,17.23493723,31.72009115,18.700275,9.704661145,,0.6125,0.6097
23.6839,17.20731167,31.71799321,18.7114361,9.692488879,,0.6124,0.6099
23.6879,17.18222837,31.70994215,18.72034868,9.682988869,,0.6122,0.6101
23.6919,17.16021755,31.6988108,18.72783345,9.674944748,,0.6121,0.6103
23.6959,17.1420239,31.68944002,18.73544741,9.668723499,,0.612,0.6105
23.6999,17.12698078,31.6823029,18.74338086,9.665644954,,0.6119,0.6106
23.7039,17.11468161,31.675396,18.75087141,9.665741687,,0.6117,0.6106
23.7079,17.10409782,31.66756059,18.75785166,9.666220618,,0.6116,0.6107
23.7119,17.09259378,31.65950687,18.76556537,9.664555036,,0.6115,0.6108
23.7159,17.07891909,31.65295947,18.7761174,9.662502873,,0.6113,0.6109
23.72,17.06375931,31.64827595,18.79068843,9.661973289,,0.6112,0.611
23.724,17.04762122,31.64532143,18.80741829,9.661997212,,0.611,0.6112
23.728,17.03143381,31.64467651,18.8233033,9.661345711,,0.6108,0.6113
23.732,17.01565897,31.64766181,18.83866751,9.658835309,,0.6107,0.6115
23.736,17.00029498,31.6547327,18.85746296,9.653995485,,0.6105,0.6117
23.74,16.98660539,31.66534445,18.88224542,9.647454895,,0.6104,0.6119
23.744,16.97494395,31.6788277,18.91077128,9.64047549,,0.6102,0.6122
23.748,16.96305318,31.69495917,18.93957053,9.633815928,,0.6101,0.6124
23.752,16.94786462,31.71373965,18.96839886,9.627876901,,0.61,0.6127
23.756,16.92782902,31.73364804,18.99852623,9.623269157,,0.6098,0.613
23.76,16.90268561,31.75538943,19.02971572,9.618942941,,0.6096,0.6134
23.764,16.87371254,31.7822043,19.06077805,9.612950092,,0.6094,0.6138
23.768,16.84356191,31.81416359,19.09136237,9.603668761,,0.6093,0.6142
23.772,16.81336432,31.85087218,19.12169433,9.588405938,,0.6092,0.6147
23.776,16.78305631,31.89452159,19.1513843,9.564629337,,0.6092,0.6153
23.78,16.7527199,31.94575719,19.17973685,9.532763934,,0.6093,0.6159
23.784,16.7201722,32.00442965,19.20645106,9.494825409,,0.6095,0.6166
23.788,16.68216658,32.07128078,19.23262239,9.452320133,,0.6097,0.6174
23.792,16.63973017,32.14410824,19.259586,9.406698709,,0.61,0.6183
23.796,16.59722469,32.21861784,19.28719919,9.359717271,,0.6102,0.6192
23.7999,16.55616501,32.29334948,19.31477533,9.312334372,,0.6105,0.62
23.8039,16.51426023,32.36869269,19.34232946,9.264459938,,0.6108,0.6209
23.8079,16.47074095,32.44290278,19.37078095,9.217022327,,0.611,0.6218
23.8119,16.42581048,32.5152609,19.40091935,9.171100953,,0.6113,0.6227
23.8159,16.37781219,32.58703337,19.43311492,9.126719018,,0.6114,0.6236
23.8199,16.32716717,32.65531599,19.46720532,9.084571021,,0.6116,0.6245
23.8239,16.27472853,32.7160469,19.5033486,9.045505381,,0.6116,0.6253
23.8279,16.21837028,32.7688119,19.54220985,9.008524163,,0.6116,0.6262
23.8319,16.15621209,32.81307433,19.58276456,8.971857976,,0.6115,0.6271
23.8359,16.08796351,32.84751672,19.62361738,8.935423168,,0.6113,0.628
23.84,16.01477317,32.87312351,19.6640704,8.900171372,,0.6111,0.6288
23.844,15.94021161,32.89294952,19.70312914,8.866764142,,0.6108,0.6297
23.848,15.86891881,32.90975245,19.74038597,8.835454188,,0.6106,0.6305
23.852,15.80382967,32.92494193,19.7757798,8.806913473,,0.6103,0.6313
23.856,15.7464085,32.93884911,19.80925138,8.782471327,,0.6101,0.6319
23.86,15.69757377,32.95218724,19.84167071,8.762498271,,0.6099,0.6325
23.864,15.65618673,32.96744247,19.87532539,8.745174196,,0.6096,0.633
23.868,15.62083664,32.98762939,19.91262954,8.729190336,,0.6094,0.6335
23.872,15.5923779,33.01390389,19.95340665,8.716498226,,0.6092,0.634
23.876,15.56963899,33.04528897,19.99658718,8.708875816,,0.609,0.6344
23.88,15.54937955,33.07935603,20.04202221,8.704963335,,0.6088,0.6348
23.884,15.53118442,33.11393337,20.08753223,8.701837098,,0.6086,0.6351
23.888,15.51639239,33.14898168,20.13056199,8.698194548,,0.6084,0.6355
23.892,15.50510383,33.18478927,20.17140918,8.695089036,,0.6082,0.6358
23.896,15.49647497,33.22063885,20.21067375,8.693736893,,0.6081,0.6361
23.9,15.49141932,33.25655998,20.24636004,8.694408496,,0.608,0.6363
23.904,15.49060729,33.29266119,20.27554822,8.695879129,,0.6079,0.6365
23.908,15.49210656,33.327542,20.29808379,8.696929375,,0.6079,0.6367
23.912,15.49526466,33.35997798,20.31537845,8.697795245,,0.6079,0.6368
23.916,15.50064558,33.39138254,20.32902777,8.698704845,,0.6079,0.6369
23.9199,15.5081608,33.42458127,20.34033165,8.69930892,,0.608,0.6369
23.9239,15.51757278,33.45879312,20.34778796,8.699047394,,0.6082,0.637
23.9279,15.52849704,33.49226588,20.35212394,8.698219454,,0.6083,0.637
23.9319,15.54021318,33.52589771,20.35785375,8.697963478,,0.6085,0.6371
23.9359,15.55158782,33.55805948,20.36481411,8.69972364,,0.6086,0.6371
23.9399,15.56374369,33.58524299,20.36862662,8.704714889,,0.6087,0.6371
23.9439,15.5795263,33.60679629,20.36612841,8.712122306,,0.6088,0.637
23.9479,15.59923312,33.62397039,20.35686634,8.720506441,,0.6089,0.6368
23.9519,15.62145726,33.63763208,20.34225629,8.72857063,,0.6091,0.6367
23.9559,15.64487549,33.64784752,20.32192132,8.734848807,,0.6094,0.6364
23.9599,15.66723129,33.65452049,20.29496523,8.739799336,,0.6096,0.6362
23.9639,15.68730682,33.65675689,20.26244738,8.742781724,,0.6099,0.636
23.9679,15.7061986,33.65273525,20.22525452,8.741351412,,0.6102,0.6357
23.9719,15.7245866,33.64166693,20.18449511,8.737710208,,0.6106,0.6355
23.9759,15.74174908,33.62388763,20.14262909,8.736114447,,0.6109,0.6352
23.9799,15.75655376,33.59954955,20.10060278,8.736290018,,0.6111,0.6349
23.9839,15.76821065,33.56800876,20.0568697,8.735786406,,0.6113,0.6347
23.9879,15.77646601,33.52929893,20.01180184,8.733138521,,0.6115,0.6344
23.9919,15.78074403,33.4841573,19.9660707,8.729081434,,0.6117,0.6341
23.9959,15.78098643,33.43298595,19.91726665,8.725735949,,0.6119,0.6338
24,15.77923481,33.37734315,19.86525767,8.722057953,,0.612,0.6336
24.004,15.77839175,33.31777766,19.81129842,8.716412304,,0.6122,0.6333
24.008,15.77978091,33.25493722,19.75549789,8.710746224,,0.6124,0.6329
24.012,15.78265959,33.19241198,19.70053615,8.707254717,,0.6125,0.6326
24.016,15.78716654,33.13113739,19.64852432,8.707316201,,0.6127,0.6322
24.02,15.79445629,33.06870075,19.59861484,8.710826038,,0.6128,0.6318
24.024,15.80445416,33.00485168,19.55073188,8.716011192,,0.6128,0.6314
24.028,15.81694464,32.94297717,19.50563952,8.722476559,,0.6129,0.631
24.032,15.83288298,32.88614834,19.46250119,8.732589184,,0.613,0.6305
24.036,15.85342378,32.83442757,19.42014119,8.748338115,,0.613,0.63
24.04,15.87851494,32.78894328,19.37911304,8.766460851,,0.6131,0.6294
24.044,15.90826332,32.7518778,19.33981914,8.78373408,,0.6132,0.6289
24.048,15.94335026,32.72308086,19.30253683,8.801324314,,0.6134,0.6284
24.052,15.98254937,32.70189792,19.26939018,8.819828809,,0.6136,0.6278
24.056,16.02343631,32.68958746,19.24031114,8.837162613,,0.6138,0.6273
24.06,16.06409171,32.68620573,19.21140531,8.851769569,,0.614,0.6269
24.064,16.10278296,32.68827433,19.18133086,8.864840921,,0.6143,0.6265
24.068,16.13940453,32.6940304,19.150656,8.877338262,,0.6146,0.6261
24.072,16.17491737,32.70364758,19.11819656,8.88874104,,0.6149,0.6257
24.076,16.20937394,32.71509167,19.08356143,8.898574154,,0.6153,0.6254
24.0799,16.24474021,32.72608825,19.04697159,8.907280848,,0.6157,0.625
24.0839,16.28360414,32.73536594,19.00820825,8.915961653,,0.6161,0.6246
24.0879,16.3244995,32.74160282,18.96813848,8.925674979,,0.6165,0.6242
24.0919,16.36581059,32.74385951,18.92908437,8.937247104,,0.6169,0.6238
24.0959,16.40765427,32.74027329,18.89226082,8.950134656,,0.6172,0.6233
24.0999,16.448431,32.72825483,18.85616498,8.96290967,,0.6174,0.6228
24.1039,16.48646573,32.70729222,18.81876105,8.975024024,,0.6177,0.6223
24.1079,16.52282635,32.67645303,18.77743357,8.988340848,,0.6179,0.6218
24.1119,16.56030469,32.63372421,18.72957673,9.00610649,,0.6181,0.6211
24.1159,16.60040301,32.58022187,18.6761269,9.028210959,,0.6183,0.6204
24.12,16.64575967,32.51703816,18.61652604,9.053426715,,0.6184,0.6196
24.124,16.70100437,32.44332861,18.546252,9.082925294,,0.6187,0.6186
24.128,16.76635343,32.3628306,18.46547762,9.116386107,,0.6189,0.6175
24.132,16.84268504,32.28072182,18.37808832,9.154516025,,0.6193,0.6162
24.136,16.93436257,32.19698,18.28634426,9.200720449,,0.6196,0.6148
24.14,17.03940004,32.11157637,18.19261205,9.255527839,,0.62,0.6132
24.144,17.15285662,32.02675989,18.09916513,9.317463322,,0.6203,0.6116
24.148,17.2771827,31.94150413,18.00617211,9.388043443,,0.6206,0.6098
24.152,17.41731702,31.85232773,17.91391624,9.471007431,,0.6209,0.6078
24.156,17.56969333,31.75942751,17.8252817,9.566091523,,0.6211,0.6057
24.16,17.73023869,31.6633623,17.74140661,9.670953284,,0.6212,0.6035
24.164,17.89970786,31.5627514,17.66069575,9.784933463,,0.6212,0.6012
24.168,18.07381268,31.46027012,17.58426055,9.905924621,,0.6212,0.5988
24.172,18.24954707,31.35915876,17.51379299,10.03259326,,0.6211,0.5964
24.176,18.42735756,31.25946659,17.44864244,10.16472591,,0.6209,0.594
24.18,18.60177812,31.16340525,17.3888943,10.29880796,,0.6207,0.5917
24.184,18.76984907,31.07384541,17.33480496,10.43238108,,0.6204,0.5894
24.188,18.93320311,30.99046653,17.28685746,10.56452368,,0.6202,0.5872
24.192,19.08849199,30.91312867,17.24655348,10.68977616,,0.6199,0.5852
24.196,19.23337903,30.84186326,17.21347129,10.80461583,,0.6196,0.5833
24.1999,19.36956986,30.77579751,17.18499912,10.91113776,,0.6193,0.5816
24.2039,19.49590592,30.71602974,17.15870854,11.00912239,,0.6191,0.5801
24.2079,19.60919579,30.66382631,17.13394971,11.09509572,,0.6189,0.5787
24.2119,19.70886606,30.6176038,17.11008039,11.16807741,,0.6188,0.5774
24.2159,19.79702181,30.5754739,17.08563656,11.23010863,,0.6187,0.5764
24.2199,19.87475892,30.53661946,17.06043534,11.28321464,,0.6186,0.5754
24.2239,19.94240581,30.49837976,17.03470002,11.32905353,,0.6186,0.5745
24.2279,20.00095003,30.45808783,17.00855218,11.36801233,,0.6186,0.5738
24.2319,20.0502692,30.41620085,16.98221061,11.3998518,,0.6186,0.5731
24.2359,20.08975194,30.37322693,16.95426533,11.42675285,,0.6186,0.5724
24.2399,20.12016209,30.3275736,16.92285153,11.450962,,0.6186,0.5719
24.2439,20.14260696,30.27804734,16.88841919,11.47099224,,0.6186,0.5713
24.2479,20.15742958,30.22508126,16.8512326,11.48549753,,0.6186,0.5708
24.2519,20.1659352,30.16895418,16.81078474,11.49599085,,0.6186,0.5704
24.2559,20.17019888,30.11020575,16.768831,11.50386011,,0.6186,0.5699
24.2599,20.17039921,30.04985514,16.72749846,11.51020621,,0.6186,0.5695
24.2639,20.16582564,29.98612829,16.68675831,11.51474467,,0.6186,0.5691
24.2679,20.15746287,29.91711348,16.64527643,11.51628784,,0.6186,0.5687
24.2719,20.14751322,29.84533742,16.60284655,11.51670843,,0.6186,0.5684
24.2759,20.13673881,29.77036365,16.55985322,11.51753585,,0.6185,0.568
24.28,20.12436959,29.68853921,16.51685194,11.51820918,,0.6184,0.5676
24.284,20.11121709,29.60237359,16.47562918,11.52023109,,0.6183,0.5672
24.288,20.10003039,29.51605453,16.43603448,11.52451991,,0.6182,0.5667
24.292,20.09231992,29.43016453,16.39573625,11.52988395,,0.6181,0.5663
24.296,20.08718676,29.34536003,16.35452259,11.53635862,,0.618,0.5658
24.3,20.08327832,29.26151471,16.31271063,11.54524593,,0.6178,0.5653
24.304,20.08081041,29.17743868,16.26930104,11.55674183,,0.6177,0.5647
24.308,20.08082758,29.09533463,16.22562548,11.56888058,,0.6176,0.5642
24.312,20.08431832,29.01771391,16.18264908,11.58148734,,0.6175,0.5636
24.316,20.09241811,28.94410135,16.13910515,11.59568986,,0.6175,0.563
24.32,20.10363757,28.8745629,16.09719647,11.61035888,,0.6174,0.5625
24.324,20.11558924,28.81030148,16.06083632,11.62531987,,0.6174,0.5619
24.328,20.12973592,28.75088623,16.02981786,11.64299972,,0.6173,0.5614
24.332,20.1490256,28.69460265,16.00122446,11.66579183,,0.6172,0.5608
24.336,20.17349237,28.64200851,15.97460649,11.69293365,,0.6171,0.5602
24.34,20.20197564,28.59548631,15.95209578,11.72083089,,0.617,0.5596
24.344,20.23418617,28.55661867,15.93442452,11.74732705,,0.6169,0.5591
24.348,20.26913882,28.52655479,15.92065484,11.77280016,,0.6168,0.5586
24.352,20.30506814,28.50544842,15.91136229,11.79939337,,0.6167,0.5581
24.356,20.34013593,28.49091277,15.90877887,11.82915399,,0.6166,0.5577
24.3599,20.37334864,28.48002334,15.91385512,11.86001437,,0.6165,0.5573
24.3639,20.40441602,28.47101103,15.9259915,11.89105641,,0.6163,0.557
24.3679,20.43141375,28.46353787,15.94416783,11.92559642,,0.616,0.5567
24.3719,20.45213172,28.45888914,15.96750634,11.96351067,,0.6156,0.5565
24.3759,20.46682873,28.45735703,15.99760456,12.00157295,,0.6152,0.5563
24.3799,20.4770794,28.45719387,16.03725445,12.03871394,,0.6147,0.5562
24.3839,20.4844713,28.45727179,16.08517827,12.07658724,,0.6141,0.5561
24.3879,20.48913165,28.45904063,16.13829827,12.11557452,,0.6135,0.5561
24.3919,20.48930625,28.46643454,16.19680502,12.15252005,,0.6129,0.5562
24.3959,20.48378947,28.48231049,16.26098279,12.18457878,,0.6122,0.5563
24.3999,20.4725168,28.50492484,16.32777173,12.21070893,,0.6116,0.5566
24.4039,20.45396776,28.53199686,16.39628442,12.2292323,,0.6111,0.557
24.4079,20.4264241,28.56420195,16.46759427,12.23839057,,0.6105,0.5575
24.4119,20.39059833,28.60274336,16.53889156,12.23901796,,0.6101,0.5581
24.4159,20.34755202,28.64923394,16.60893525,12.2310672,,0.6096,0.5588
24.4199,20.29852099,28.70536957,16.68027465,12.2121224,,0.6093,0.5597
24.4239,20.24613849,28.77189671,16.75210059,12.18195116,,0.6091,0.5607
24.4279,20.18966375,28.85286902,16.82150266,12.13811632,,0.609,0.5618
24.4319,20.12463371,28.9526809,16.88738532,12.07632191,,0.6091,0.5631
24.4359,20.04972691,29.06804733,16.94876692,11.99746139,,0.6094,0.5646
24.44,19.96675723,29.19298224,17.00511058,11.90451462,,0.6098,0.5663
24.444,19.87642867,29.32859386,17.05682509,11.79643704,,0.6104,0.5681
24.448,19.77945681,29.47778296,17.10486172,11.67143895,,0.6111,0.5701
24.452,19.67908292,29.6342066,17.15034252,11.53759021,,0.612,0.5721
24.456,19.5761462,29.79263849,17.1959791,11.40462253,,0.6128,0.5742
24.46,19.46854486,29.95422832,17.24569332,11.27382131,,0.6136,0.5763
24.464,19.35710889,30.11510668,17.30110732,11.14660787,,0.6142,0.5784
24.468,19.2417917,30.27090971,17.36409301,11.02438493,,0.6148,0.5805
24.472,19.12104488,30.42029405,17.43629282,10.90727819,,0.6152,0.5827
24.476,18.99775132,30.55986998,17.51536797,10.79873076,,0.6155,0.5848
24.4799,18.87413994,30.68932563,17.59959396,10.69949862,,0.6156,0.5868
24.4839,18.74882364,30.8118531,17.68961961,10.60629135,,0.6156,0.5888
24.4879,18.6226727,30.92879933,17.78295161,10.51712381,,0.6156,0.5908
24.4919,18.49435717,31.04312957,17.87608153,10.42941889,,0.6155,0.5928
24.4959,18.35965004,31.15855433,17.96914416,10.34034452,,0.6154,0.5948
24.4999,18.22058412,31.27375985,18.06221804,10.25011666,,0.6153,0.5969
24.5039,18.08272214,31.3844824,18.15259928,10.16059921,,0.6152,0.5989
24.5079,17.94672921,31.48823592,18.23834476,10.07032447,,0.6151,0.6009
24.5119,17.81097798,31.58491185,18.32020963,9.976860136,,0.615,0.6028
24.5159,17.67903721,31.67437221,18.39793222,9.8836895,,0.6149,0.6047
24.5199,17.5533135,31.7568236,18.47001746,9.795630674,,0.6149,0.6065
24.5239,17.43277096,31.83314546,18.53720393,9.71359723,,0.6148,0.6082
24.5279,17.31997415,31.90285198,18.60201788,9.638030975,,0.6147,0.6098
24.5319,17.21713872,31.96544132,18.66697916,9.570381768,,0.6145,0.6113
24.5359,17.12423411,32.0217011,18.73233145,9.51157612,,0.6144,0.6126
24.5399,17.04212489,32.07194174,18.79493371,9.462509986,,0.6141,0.6138
24.5439,16.97029723,32.11598233,18.85276227,9.423745368,,0.6139,0.6148
24.5479,16.90720948,32.15451156,18.90646301,9.394003439,,0.6136,0.6156
24.5519,16.8530388,32.18872326,18.95621307,9.371215788,,0.6134,0.6164
24.5559,16.8069769,32.21837598,19.00184175,9.354672504,,0.6131,0.617
24.56,16.7674872,32.24332032,19.04370216,9.343080954,,0.6128,0.6175
24.564,16.73492509,32.26559619,19.08211158,9.334061518,,0.6126,0.618
24.568,16.70997569,32.28649807,19.11586461,9.327957306,,0.6124,0.6183
24.572,16.69186895,32.30502188,19.14398504,9.325629136,,0.6122,0.6186
24.576,16.67877346,32.32039207,19.16838341,9.325159726,,0.612,0.6188
24.58,16.66896799,32.33392153,19.19169553,9.324067604,,0.6119,0.619
24.584,16.66125806,32.34786311,19.21419308,9.320461482,,0.6118,0.6192
24.588,16.65498732,32.36315175,19.23296958,9.313625019,,0.6118,0.6194
24.592,16.64902735,32.37797207,19.24511266,9.305192302,,0.6118,0.6195
24.596,16.64292406,32.3899057,19.25070172,9.297771049,,0.6118,0.6197
24.6,16.63819505,32.39907578,19.25294014,9.292665049,,0.6118,0.6198
24.604,16.63552813,32.40676981,19.2557733,9.289999495,,0.6119,0.6198
24.608,16.63367062,32.41508376,19.2606785,9.290330704,,0.6118,0.6199
24.612,16.63271722,32.42746515,19.26701008,9.293813427,,0.6118,0.6199
24.616,16.63446509,32.44391216,19.27316856,9.298915183,,0.6118,0.62
24.62,16.63857774,32.46044581,19.2782913,9.303286462,,0.6118,0.62
24.624,16.6428328,32.4748116,19.28296097,9.306151931,,0.6119,0.62
24.628,16.646398,32.48715005,19.28684704,9.309036734,,0.6119,0.62
24.632,16.64925521,32.4969582,19.28861107,9.313051794,,0.6119,0.62
24.636,16.65108636,32.50293325,19.29022141,9.317274213,,0.6119,0.62
24.6399,16.65204824,32.50503497,19.29549882,9.320493623,,0.6118,0.62
24.6439,16.65121447,32.50315418,19.30320583,9.324000599,,0.6117,0.62
24.6479,16.64745549,32.49500133,19.31071708,9.328793387,,0.6116,0.62
24.6519,16.64131112,32.47931266,19.31771553,9.333282256,,0.6114,0.6199
24.6559,16.6336426,32.45951368,19.32387826,9.337502534,,0.6113,0.6199
24.6599,16.62650365,32.44016603,19.32928308,9.342613511,,0.6111,0.6199
24.6639,16.62153557,32.42248741,19.33356672,9.348685462,,0.6109,0.6198
24.6679,16.61791711,32.40652713,19.33707338,9.355769612,,0.6108,0.6198
24.6719,16.61511498,32.39324219,19.34134345,9.362766634,,0.6106,0.6197
24.6759,16.61076319,32.3833064,19.34562079,9.367027007,,0.6105,0.6197
24.6799,16.60180045,32.37551816,19.34717793,9.366666505,,0.6104,0.6198
24.6839,16.58919003,32.36777756,19.34601737,9.361969832,,0.6104,0.6198
24.6879,16.57446497,32.35819284,19.34525477,9.354448752,,0.6104,0.6199
24.6919,16.55753939,32.34491693,19.34588918,9.345334959,,0.6103,0.6201
24.6959,16.53793348,32.32791196,19.34585405,9.335672406,,0.6102,0.6202
24.6999,16.51556052,32.30874113,19.34411304,9.327267431,,0.6101,0.6203
24.7039,16.4911225,32.28803798,19.34273105,9.322033592,,0.61,0.6204
24.7079,16.46612982,32.26571982,19.34505051,9.320165738,,0.6098,0.6205
24.7119,16.4423258,32.24082603,19.35149923,9.319985527,,0.6095,0.6206
24.7159,16.41929678,32.2121276,19.36003383,9.320761534,,0.6093,0.6207
24.72,16.39502971,32.18039534,19.3701621,9.324346095,,0.6089,0.6208
24.724,16.3690033,32.14487904,19.38140493,9.331554278,,0.6086,0.6208
24.728,16.34287073,32.10292805,19.39232556,9.340986986,,0.6081,0.6208
24.732,16.31923828,32.05540896,19.40238273,9.352508013,,0.6077,0.6208
24.736,16.29901659,32.00651053,19.41155349,9.365892577,,0.6073,0.6207
24.74,16.28135689,31.95865673,19.42003197,9.380340867,,0.6068,0.6206
24.744,16.26698513,31.91187548,19.42801142,9.396934902,,0.6064,0.6205
24.748,16.2584683,31.86839864,19.43641184,9.416639984,,0.606,0.6203
24.752,16.25592844,31.8289874,19.44652409,9.439819922,,0.6056,0.6201
24.756,16.25570867,31.79027468,19.45820471,9.466543241,,0.6052,0.6198
24.76,16.25434824,31.75139425,19.47041236,9.49436352,,0.6047,0.6196
24.764,16.25204458,31.71400054,19.48318279,9.520634674,,0.6043,0.6193
24.768,16.25108431,31.67886875,19.49807387,9.544862713,,0.6039,0.6191
24.772,16.25191545,31.64586272,19.51586346,9.566621081,,0.6035,0.6189
24.776,16.25251344,31.61582397,19.5363881,9.587322686,,0.6031,0.6188
24.78,16.25098483,31.59029464,19.55924761,9.609437821,,0.6027,0.6186
24.784,16.24753794,31.56886959,19.58340988,9.632108803,,0.6022,0.6185
24.788,16.2428066,31.55098771,19.6086822,9.653665799,,0.6018,0.6184
24.792,16.23620212,31.53661093,19.6366946,9.672518554,,0.6014,0.6184
24.796,16.22663456,31.52441749,19.66873025,9.68667406,,0.601,0.6184
24.7999,16.21402462,31.51324263,19.70391627,9.697184062,,0.6006,0.6185
24.8039,16.19941164,31.50427206,19.74113853,9.707955938,,0.6002,0.6186
24.8079,16.18455839,31.49968691,19.78012748,9.721510298,,0.5997,0.6188
24.8119,16.17080778,31.4993345,19.82071698,9.737124284,,0.5993,0.6189
24.8159,16.15821587,31.5019601,19.86338419,9.75328686,,0.5989,0.619
24.8199,16.1470871,31.50728375,19.90888317,9.769086063,,0.5984,0.6191
24.8239,16.13684263,31.51378419,19.95657871,9.783581642,,0.598,0.6193
24.8279,16.12629023,31.52114567,20.00530176,9.796066002,,0.5976,0.6194
24.8319,16.11550992,31.53205654,20.05444318,9.807669982,,0.5972,0.6196
24.8359,16.1048161,31.54613848,20.10345227,9.820422413,,0.5968,0.6198
24.84,16.09416985,31.56080812,20.15056081,9.833262228,,0.5964,0.62
24.844,16.08363653,31.57615201,20.19485101,9.84420921,,0.596,0.6202
24.848,16.07357512,31.59279638,20.23801866,9.854033252,,0.5957,0.6203
24.852,16.06304451,31.60927463,20.27930412,9.864227756,,0.5954,0.6205
24.856,16.0506449,31.62294419,20.31684354,9.873397329,,0.5951,0.6207
24.86,16.03638752,31.63261533,20.35156923,9.878557159,,0.5948,0.6209
24.864,16.02009269,31.63886385,20.38343483,9.88080899,,0.5945,0.6211
24.868,16.00169177,31.6408317,20.41135749,9.882987553,,0.5942,0.6213
24.872,15.98151922,31.63695462,20.43545526,9.884795124,,0.594,0.6215
24.876,15.95911404,31.62771112,20.45588566,9.885340431,,0.5937,0.6216
24.88,15.93479985,31.61372064,20.4743862,9.885013328,,0.5934,0.6218
24.884,15.91033395,31.59602741,20.49431167,9.884593538,,0.5931,0.622
24.888,15.88722783,31.57762988,20.51555254,9.884960595,,0.5928,0.6221
24.892,15.86428226,31.56014901,20.53549724,9.885404034,,0.5925,0.6223
24.896,15.8398128,31.54233925,20.55398554,9.883884447,,0.5922,0.6224
24.9,15.81514947,31.52356636,20.57138608,9.879050566,,0.5919,0.6226
24.904,15.78943231,31.50289131,20.58662685,9.870859159,,0.5917,0.6228
24.908,15.75926591,31.47822843,20.59944062,9.860625645,,0.5914,0.623
24.912,15.72489808,31.45057937,20.61071857,9.84994402,,0.5912,0.6232
24.916,15.6890423,31.42186724,20.62089888,9.841505934,,0.5909,0.6235
24.9199,15.65371674,31.3921725,20.63012663,9.838342394,,0.5906,0.6236
24.9239,15.62026107,31.36208818,20.6404522,9.839784443,,0.5902,0.6238
