KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016)
Eyes Condition: ,Closed
Side: ,Left
Repetition:,1
Longitudinal Mean Cop Position (mm),-40.933
Lateral Mean Cop Position (mm),4.355
Longitudinal Standard Deviation (mm),10.014
Lateral Standard Deviation (mm),8.497
Ellipse Surface (mm²),1578.395
Total Displacement (mm),3799.898
Total Displacement AP (mm),2349.621
Total Displacement ML (mm),2568.208
Mean Velocity (mm/s),63.252
Mean Velocity AP (mm/s),39.111
Mean Velocity ML (mm/s),42.749
Longitudinal Amplitude (mm/s),59.808
Lateral Amplitude (mm/s),40.181
Amplitude Ratio,0.672
Phase Plane AP (mm),54.535
Phase Plane ML (mm),42.413
Max Distance AP (mm),74.865
Max Distance ML (mm),27.103
,Heel,Tip
Weight Distribution (%),64.0,36.0

,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.844,21.422080540458449,21.796161447278855,18.384641519774767,15.740590864137703,,0.5498,0.5141,
0.848,21.476332250037771,21.707671794497095,18.326623789086383,15.770323738139350,,0.5498,0.5130,
0.852,21.506053287335014,21.636458281407023,18.281720305218172,15.787795111574871,,0.5498,0.5123,
0.856,21.513324935754163,21.581521148368132,18.248169414154120,15.792218469401442,,0.5497,0.5118,
0.86,21.503258549314985,21.542128270546758,18.224600067176830,15.784530881277016,,0.5497,0.5116,
0.864,21.482647362940359,21.518432320724031,18.208916012244824,15.766067034730511,,0.5496,0.5116,
0.868,21.457839863862482,21.509959405680782,18.199003490374977,15.738009535787802,,0.5497,0.5118,
0.872,21.432941432452637,21.513904552682668,18.193796611536612,15.702576055816726,,0.5499,0.5121,
0.876,21.408457058456648,21.528737280313639,18.191670773181880,15.661483137574017,,0.5501,0.5125,
0.8801000000238418,21.383604027229513,21.555436729368111,18.190977598241751,15.616163984752024,,0.5504,0.5129,
0.8841000000238418,21.359890732387854,21.592340701492724,18.190456203975593,15.570610943397517,,0.5507,0.5134,
0.8881000000238418,21.338779182020865,21.634674958838794,18.189727366483794,15.528178486574271,,0.5511,0.5139,
0.8921000000238418,21.319526219821917,21.678613895948335,18.190104012764905,15.488589521323693,,0.5515,0.5144,
0.8961000000238418,21.301332721158076,21.722307909214685,18.192240674752686,15.451271504610014,,0.5518,0.5149,
0.9001000000238418,21.285108224575950,21.763032358744702,18.195327544934184,15.417519367112634,,0.5521,0.5153,
0.9041000000238418,21.272886046664397,21.798201978082442,18.197464898148638,15.389029752718605,,0.5524,0.5157,
0.9081000000238418,21.266169159301544,21.826833638552031,18.196328343619960,15.367219025045367,,0.5526,0.5160,
0.9121000000238418,21.265872679615821,21.848630247457699,18.192293080382065,15.352219455431312,,0.5529,0.5161,
0.9161000000238418,21.272893971617968,21.863819668392374,18.186983408045947,15.344044431966552,,0.5530,0.5162,
0.9201000000238418,21.286725017954819,21.873877069059816,18.180148129514933,15.343268744883172,,0.5532,0.5161,
0.9241000000238418,21.305340128570151,21.880910481552519,18.171399856892364,15.347751792470886,,0.5534,0.5160,
0.9281000000238419,21.327611081118384,21.883836390252036,18.160487021067851,15.354649365700963,,0.5535,0.5158,
0.9321000000238419,21.354479596892489,21.880729545568755,18.145606565080087,15.364587539673593,,0.5537,0.5156,
0.9361000000238419,21.388817625054671,21.872578200167347,18.125106707204367,15.379848620983646,,0.5538,0.5152,
0.9401000000238419,21.432124968935156,21.859710763619596,18.101211262580513,15.401796587474843,,0.5540,0.5147,
